id,screen_name,name,location,description,created_at,friends_count,followers_count,statuses_count,favourites_count
3331153685,edibberk,Edib Berk,,HDP Diyarbakır Milletvekili Resmi Hesabı,Wed Jun 17 09:38:08 +0000 2015,120,971,35,0
3297817811,selmairmakhdp,Selma Irmak,,"DTK Eş Başkanı, HDP Hakkari Milletvekili/ Hevseroka KCD'ê, Parlamentera Colemêrgê ya HDP'ê, Resmi Twitter Hesabı",Mon May 25 13:54:45 +0000 2015,206,3617,128,4
3296334795,Mustafa_CHP,Mustafa Tuncer ,,,Sun May 24 10:33:04 +0000 2015,47,183,18,47
3233256544,ali_ihsanarslan,Ali İhsan Arslan,,Ak Parti Ankara 1.Bölge Milletvekili Ali İhsan Arslan Destek Hesabı,Mon May 04 11:52:36 +0000 2015,107,12020,238,185
3233051621,MehmetAlgan_,Mehmet Alğan,"Hatay, Türkiye",Hatay Milletvekili Adayı,Mon May 04 10:03:51 +0000 2015,3,126,215,2
3230945127,MVAdnanYILMAZ,Adnan YILMAZ,"Erzurum, Türkiye","AK Parti Erzurum Milletvekili
adnan.yilmaz@tbmm.gov.tr",Sun May 03 16:29:49 +0000 2015,570,501,767,99
3228821009,ahmet_iyimaya,AHMET İYİMAYA,,TBMM Adalet Komisyonu Başkanı / AK Parti Ankara Milletvekili,Sat May 02 19:01:37 +0000 2015,213,1155,410,0
3213772374,muhsinkkaya,Muhsin Kızılkaya,,Ak Parti Mersin Mebusu,Sun May 17 17:05:47 +0000 2015,346,5035,451,2
3204391828,havva_calis38,Havva TALAY ÇALIŞ,"Kayseri, Türkiye",25. Dönem Kayseri Milletvekili,Sat Apr 25 07:22:57 +0000 2015,158,461,171,4
3200008019,edibe_sahin,edibe şahin,,Dersim'in İlk Kadın Milletvekili,Fri Apr 24 06:38:22 +0000 2015,120,1128,225,5
3199201383,mvrecaiberber,Recai Berber,"Ankara, Türkiye",TBMM Plan ve Bütçe Komisyonu Başkanı  AK Parti Manisa Milletvekili  [Resmi Twitter Hesabı],Thu Apr 23 21:44:18 +0000 2015,18,744,203,0
3197228133,durmusyalcin78,Durmuş Yalçın,,,Thu Apr 23 08:44:20 +0000 2015,0,17,0,0
3197118467,OcalanDilek,Dilek ÖCALAN,,25. Dönem HDP Riha-Urfa Milletvekili,Thu Apr 23 07:35:46 +0000 2015,217,2458,46,4
3193995052,hotar_nukhet,Prof.Dr.Nükhet Hotar,"İzmir, Türkiye",Ak Parti Genel Başkan Yardımcısı - Sosyal İşler Başkanı - İzmir Milletvekili - http://t.co/l8LzAOgAPj - Facebook: nukhethotar35 -Instagram: hotarnukhet,Wed Apr 22 07:56:13 +0000 2015,50,33378,826,102
3192564381,Dr_Demircan,Dr Ahmet Demircan,,,Tue Apr 21 22:01:44 +0000 2015,1,52,11,0
3190589409,HDPcelaldogan,Celal Doğan,Gaziantep,"HDP Gaziantep Milletvekili.
3 dönem Gaziantep Belediye Başkanlığı, 13 Yıl Gaziantepspor Kulüp Başkanılığı 2 dönem Milletvekilliği, Avukat, Spor adamı",Tue Apr 21 12:30:18 +0000 2015,19,12996,661,2
3189777586,botan_lezgin,Lezgin Botan,,HDP Wan Milletvekili,Tue Apr 21 07:21:34 +0000 2015,86,1264,415,12
3187255654,mizginbedlis,Mizgin Irgat,,,Mon Apr 20 13:52:43 +0000 2015,90,1145,273,0
3182850214,nurttinyasar,Nurettin Yaşar,"Malatya, Türkiye",AK Parti Malatya Milletvekili,Sun Apr 19 11:35:01 +0000 2015,88,6004,343,15
3180045406,DoganSelina,Selina Doğan,"İstanbul, Türkiye",CHP İstanbul Milletvekili Adayı,Sat Apr 18 17:01:25 +0000 2015,0,504,1,1
3179845288,bybektasoglu,Bülent Bektaşoğlu,"Giresun, Türkiye",CHP Giresun Milletvekili Adayı,Sat Apr 18 15:30:55 +0000 2015,2,176,270,1
3179706743,senalsarihanchp,Şenal Sarıhan,,CHP Ankara Milletvekili Av. Şenal Sarıhan Resmi Hesabı,Sat Apr 18 14:50:11 +0000 2015,1184,1553,216,165
3176640699,tahaozhansecim,Taha Özhan,Ankara | Malatya,AK Parti Malatya Milletvekili Adayı | Taha Özhan destek hesabıdır.,Fri Apr 17 13:29:05 +0000 2015,14,2026,164,0
3173512948,muratemirchp,Murat Emir,Ankara,"25. dönem Cumhuriyet Halk Partisi Ankara Milletvekili

Doktor/Hukukçu

http://t.co/oCniwjITT6",Thu Apr 16 17:30:02 +0000 2015,156,536,409,36
3172582042,AbdurrahmanOz09,Abdurrahman Öz,,AK Parti Aydın Milletvekili Adayı,Thu Apr 16 11:55:50 +0000 2015,33,79,15,1
3171307667,HdpGaydali,M. Celadet Gaydalı,Bitlis,"İnşaat Yüksek Mühendisi - HDP 25.Dönem Bitlis Milletvekili Resmi Twitter Hesabı 
http://t.co/H63KYxZDAS",Wed Apr 15 20:58:58 +0000 2015,167,820,257,98
3170535531,sdbilgic32,Süreyya Sadi Bilgiç,,Ak Parti Isparta Milletvekili,Wed Apr 15 16:50:43 +0000 2015,53,214,16,5
3169650988,alican_onlu,Alican Önlü,,,Wed Apr 15 10:19:54 +0000 2015,36,1507,316,3
3166762328,haticeseviptekn,Hatice Seviptekin,,Siirt HDP Milletvekili,Tue Apr 21 13:23:32 +0000 2015,418,1549,842,11
3164286767,etolgaorhan,Ertugrul Tolga Orhan,,,Mon Apr 13 14:16:24 +0000 2015,41,435,3,0
3162762015,NevzatCeylan06,Nevzat Ceylan,Ankara,Ak parti Ankara Milletvekili,Mon Apr 13 07:52:54 +0000 2015,24,540,764,1
